# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
0 200
123 1220 0 0.0 0.0 0.0
124 1230 0 0.0 0.0 0.0
125 1240 0 0.0 0.0 0.0
126 1250 0 0.0 0.0 0.0
127 1260 0 0.0 0.0 0.0
128 1270 0 0.0 0.0 0.0
129 1280 0 0.0 0.0 0.0
130 1290 0 0.0 0.0 0.0
131 1300 0 0.0 0.0 0.0
132 1310 0 0.0 0.0 0.0
133 1320 0 0.0 0.0 0.0
134 1330 0 0.0 0.0 0.0
135 1340 0 0.0 0.0 0.0
136 1350 0 0.0 0.0 0.0
137 1360 0 0.0 0.0 0.0
138 1370 0 0.0 0.0 0.0
139 1380 0 0.0 0.0 0.0
140 1390 0 0.0 0.0 0.0
141 1400 0 0.0 0.0 0.0
142 1410 0 0.0 0.0 0.0
143 1420 0 0.0 0.0 0.0
144 1430 0 0.0 0.0 0.0
145 1440 0 0.0 0.0 0.0
146 1450 0 0.0 0.0 0.0
147 1460 0 0.0 0.0 0.0
148 1470 0 0.0 0.0 0.0
149 1480 0 0.0 0.0 0.0
150 1490 0 0.0 0.0 0.0
151 1500 0 0.0 0.0 0.0
152 1510 0 0.0 0.0 0.0
153 1520 0 0.0 0.0 0.0
154 1530 0 0.0 0.0 0.0
155 1540 0 0.0 0.0 0.0
156 1550 0 0.0 0.0 0.0
157 1560 0 0.0 0.0 0.0
158 1570 0 0.0 0.0 0.0
159 1580 0 0.0 0.0 0.0
160 1590 0 0.0 0.0 0.0
161 1600 0 0.0 0.0 0.0
162 1610 0 0.0 0.0 0.0
163 1620 0 0.0 0.0 0.0
164 1630 0 0.0 0.0 0.0
165 1640 0 0.0 0.0 0.0
166 1650 0 0.0 0.0 0.0
167 1660 0 0.0 0.0 0.0
168 1670 0 0.0 0.0 0.0
169 1680 0 0.0 0.0 0.0
170 1690 0 0.0 0.0 0.0
171 1700 0 0.0 0.0 0.0
172 1710 0 0.0 0.0 0.0
173 1720 0 0.0 0.0 0.0
174 1730 0 0.0 0.0 0.0
175 1740 0 0.0 0.0 0.0
176 1750 0 0.0 0.0 0.0
177 1760 0 0.0 0.0 0.0
178 1770 0 0.0 0.0 0.0
179 1780 0 0.0 0.0 0.0
180 1790 0 0.0 0.0 0.0
181 1800 0 0.0 0.0 0.0
182 1810 0 0.0 0.0 0.0
183 1820 0 0.0 0.0 0.0
184 1830 0 0.0 0.0 0.0
185 1840 0 0.0 0.0 0.0
186 1850 0 0.0 0.0 0.0
187 1860 0 0.0 0.0 0.0
188 1870 0 0.0 0.0 0.0
189 1880 0 0.0 0.0 0.0
190 1890 0 0.0 0.0 0.0
191 1900 0 0.0 0.0 0.0
192 1910 0 0.0 0.0 0.0
193 1920 0 0.0 0.0 0.0
194 1930 0 0.0 0.0 0.0
195 1940 0 0.0 0.0 0.0
196 1950 0 0.0 0.0 0.0
197 1960 0 0.0 0.0 0.0
198 1970 0 0.0 0.0 0.0
199 1980 0 0.0 0.0 0.0
200 1990 0 0.0 0.0 0.0
2000 200
1 0 201 0.000984882 0.00121376 0.00109917
2 10 200 0.000942208 0.00117496 0.00105268
3 20 199 0.000842856 0.0010792 0.00094649
4 30 198 0.000735076 0.000977082 0.000851342
5 40 197 0.00064326 0.000888785 0.000801169
6 50 196 0.00056403 0.000804862 0.000782791
7 60 195 0.000492881 0.000716874 0.000766348
8 70 194 0.00043558 0.000632845 0.000733076
9 80 193 0.000395679 0.000566086 0.000683248
10 90 192 0.000367272 0.000519043 0.000628069
11 100 191 0.000345686 0.000480327 0.000579182
12 110 190 0.000336004 0.000435807 0.000543524
13 120 189 0.000343363 0.000382839 0.000520993
14 130 188 0.000361036 0.000335977 0.000504175
15 140 187 0.000376283 0.000312407 0.000481929
16 150 186 0.000381692 0.00031231 0.000451508
17 160 185 0.000381175 0.000318367 0.000422179
18 170 184 0.00038494 0.000315412 0.000402639
19 180 183 0.000397783 0.000306344 0.00039006
20 190 182 0.000415191 0.00030476 0.00037428
21 200 181 0.000430696 0.000311879 0.000353042
22 210 180 0.000440863 0.000310634 0.00033511
23 220 179 0.000442567 0.00028713 0.000329087
24 230 178 0.000430977 0.000250658 0.000334982
25 240 177 0.000405133 0.000223603 0.000348067
26 250 176 0.000370361 0.000215145 0.000364205
27 260 175 0.000334663 0.000213238 0.000383459
28 270 174 0.000300808 0.000201384 0.000407306
29 280 173 0.000266559 0.000177059 0.000434036
30 290 172 0.000235799 0.000149468 0.000459085
31 300 171 0.000215983 0.000123853 0.000478389
32 310 170 0.000211122 9.80006e-05 0.000492242
33 320 169 0.000218692 6.98233e-05 0.000502941
34 330 168 0.000230951 4.22945e-05 0.000508086
35 340 167 0.000240072 2.58264e-05 0.000500881
36 350 166 0.0002417 3.44981e-05 0.000480708
37 360 165 0.000235611 7.12062e-05 0.000457419
38 370 164 0.000227498 0.00011849 0.000444354
39 380 163 0.00022593 0.000155933 0.000446826
40 390 162 0.000234636 0.000181601 0.000458703
41 400 161 0.000245815 0.000207472 0.000466509
42 410 160 0.000246991 0.000237283 0.000460492
43 420 159 0.000234189 0.000257218 0.000441884
44 430 158 0.000214939 0.000251842 0.000417646
45 440 157 0.000200317 0.00022369 0.000392631
46 450 156 0.000193992 0.000189616 0.000367073
47 460 155 0.000192544 0.00016061 0.000342908
48 470 154 0.000193053 0.000133425 0.000326299
49 480 153 0.000191056 9.78123e-05 0.00031866
50 490 152 0.000180673 4.90646e-05 0.00031163
51 500 151 0.000161113 -7.50192e-06 0.000295778
52 510 150 0.000138559 -6.13329e-05 0.000269468
53 520 149 0.000116612 -0.000105821 0.000239179
54 530 148 9.56244e-05 -0.000144425 0.000216518
55 540 147 7.67338e-05 -0.000183176 0.000213059
56 550 146 6.19058e-05 -0.000218884 0.000231371
57 560 145 5.45795e-05 -0.000239093 0.000263324
58 570 144 5.52169e-05 -0.000238449 0.000299577
59 580 143 5.48122e-05 -0.000228375 0.000332338
60 590 142 4.22879e-05 -0.000224311 0.000356579
61 600 141 1.44571e-05 -0.000224895 0.000374012
62 610 140 -2.38147e-05 -0.000213462 0.000389559
63 620 139 -6.45205e-05 -0.000180325 0.00040728
64 630 138 -0.00010065 -0.000131137 0.000427233
65 640 137 -0.000127076 -7.51148e-05 0.000440491
66 650 136 -0.000140039 -1.43473e-05 0.000438841
67 660 135 -0.000140283 4.87199e-05 0.000431283
68 670 134 -0.000133653 0.000103126 0.000433949
69 680 133 -0.000122656 0.000137075 0.000450179
70 690 132 -0.000103237 0.000147883 0.000467651
71 700 131 -7.41899e-05 0.000142764 0.000468711
72 710 130 -4.24293e-05 0.000134082 0.000448048
73 720 129 -1.48559e-05 0.000130785 0.000422118
74 730 128 1.28056e-05 0.000133245 0.000419017
75 740 127 4.3477e-05 0.000136112 0.000449769
76 750 126 6.73785e-05 0.000138644 0.000492845
77 760 125 6.66551e-05 0.000148839 0.000513114
78 770 124 3.77432e-05 0.000175087 0.000492743
79 780 123 -3.83017e-06 0.000217499 0.000438242
80 790 122 -4.2521e-05 0.000265676 0.000375813
81 800 121 -7.9629e-05 0.000308961 0.000336939
82 810 120 -0.000126449 0.000352039 0.000338086
83 820 119 -0.000186267 0.000408235 0.000366199
84 830 118 -0.000249996 0.000478672 0.000387054
85 840 117 -0.000307443 0.000547785 0.000377044
86 850 116 -0.000356411 0.000599783 0.00034519
87 860 115 -0.000393038 0.000634461 0.000321868
88 870 114 -0.000408156 0.000661445 0.000328389
89 880 113 -0.000398024 0.000683764 0.000362272
90 890 112 -0.000366705 0.00069531 0.000403069
91 900 111 -0.000323631 0.000690838 0.000432119
92 910 110 -0.000277421 0.000670985 0.000448577
93 920 109 -0.000231486 0.000640435 0.00045944
94 930 108 -0.000190599 0.000600215 0.000466346
95 940 107 -0.000160319 0.000544678 0.000467886
96 950 106 -0.0001396 0.000468896 0.000467594
97 960 105 -0.000122397 0.000376671 0.000468829
98 970 104 -0.000105403 0.000280927 0.000472135
99 980 103 -9.43882e-05 0.000196596 0.000477465
100 990 102 -0.000100276 0.000130104 0.000483762
101 1000 101 -0.000132861 7.60319e-05 0.000487941
102 1010 100 -0.000193123 2.72097e-05 0.000486017
103 1020 99 -0.000269663 -1.19456e-05 0.000479148
104 1030 98 -0.000350314 -2.78184e-05 0.000468891
105 1040 97 -0.000424914 -1.56773e-05 0.000452889
106 1050 96 -0.000485471 1.47893e-05 0.000425974
107 1060 95 -0.000527237 5.22608e-05 0.000390693
108 1070 94 -0.000548023 9.09773e-05 0.000358035
109 1080 93 -0.000550396 0.000130362 0.000333472
110 1090 92 -0.00053964 0.000168979 0.000306749
111 1100 91 -0.000519766 0.000202414 0.000259314
112 1110 90 -0.000491609 0.000226347 0.000188797
113 1120 89 -0.000459155 0.000238837 0.000113643
114 1130 88 -0.000433253 0.000244065 5.41585e-05
115 1140 87 -0.000420245 0.0002518 1.46949e-05
116 1150 86 -0.000418655 0.000266892 -1.1523e-05
117 1160 85 -0.000425955 0.00027846 -3.29188e-05
118 1170 84 -0.000437288 0.000267166 -5.36463e-05
119 1180 83 -0.00044874 0.000230021 -7.45766e-05
120 1190 82 -0.000458964 0.000188172 -9.66899e-05
121 1200 81 -0.000467514 0.000162169 -0.000113451
122 1210 80 -0.000476118 0.000150937 -0.00011248
123 1220 79 -0.000482887 0.000142433 -8.97407e-05
124 1230 78 -0.000483088 0.000132782 -5.91016e-05
125 1240 77 -0.000476275 0.000130603 -3.91439e-05
126 1250 76 -0.000467509 0.000143732 -3.51415e-05
127 1260 75 -0.000462185 0.000167442 -4.22825e-05
128 1270 74 -0.00046129 0.000186595 -5.41099e-05
129 1280 73 -0.000465119 0.000190614 -6.94786e-05
130 1290 72 -0.000472188 0.000185259 -8.32207e-05
131 1300 71 -0.000476919 0.00018436 -8.22121e-05
132 1310 70 -0.000471462 0.000193795 -5.68903e-05
133 1320 69 -0.00046391 0.000205259 -1.50726e-05
134 1330 68 -0.000473401 0.000208212 2.76639e-05
135 1340 67 -0.000518735 0.00019585 6.2543e-05
136 1350 66 -0.000602232 0.00017123 8.98001e-05
137 1360 65 -0.000707666 0.000148518 0.000114286
138 1370 64 -0.000810093 0.000135915 0.000145327
139 1380 63 -0.000888953 0.000119961 0.00018355
140 1390 62 -0.000935242 8.41259e-05 0.000215162
141 1400 61 -0.000950695 3.59071e-05 0.000235182
142 1410 60 -0.000949831 1.11575e-06 0.000246847
143 1420 59 -0.000950065 -6.53725e-06 0.000245992
144 1430 58 -0.000949723 3.62327e-07 0.000228952
145 1440 57 -0.000927229 3.86138e-06 0.000199715
146 1450 56 -0.00086465 6.8992e-06 0.000159607
147 1460 55 -0.00077075 1.92538e-05 0.000106473
148 1470 54 -0.000679008 3.98036e-05 4.1924e-05
149 1480 53 -0.000625305 6.58456e-05 -2.32505e-05
150 1490 52 -0.000616353 9.54778e-05 -6.98667e-05
151 1500 51 -0.000628971 0.000125478 -9.36797e-05
152 1510 50 -0.000648101 0.000158556 -0.000111217
153 1520 49 -0.000678662 0.000207472 -0.000142288
154 1530 48 -0.000720769 0.000274394 -0.000196121
155 1540 47 -0.000762177 0.000343311 -0.000267286
156 1550 46 -0.000786782 0.000395 -0.000338719
157 1560 45 -0.00079533 0.000429229 -0.000391478
158 1570 44 -0.000800521 0.00046151 -0.000416388
159 1580 43 -0.000805525 0.000500577 -0.000414768
160 1590 42 -0.000795147 0.000532097 -0.00040154
161 1600 41 -0.000772083 0.000527582 -0.000405992
162 1610 40 -0.000771331 0.00047537 -0.000446979
163 1620 39 -0.000810468 0.000399529 -0.000501178
164 1630 38 -0.000857128 0.000339699 -0.000521658
165 1640 37 -0.000861379 0.000306257 -0.000486747
166 1650 36 -0.000804131 0.000286605 -0.000421857
167 1660 35 -0.000695191 0.000272574 -0.000370035
168 1670 34 -0.000541098 0.000271308 -0.000350349
169 1680 33 -0.000354659 0.000303013 -0.000360266
170 1690 32 -0.000162443 0.000376134 -0.000384976
171 1700 31 1.12921e-05 0.000467572 -0.000412647
172 1710 30 0.000156508 0.000546484 -0.000430313
173 1720 29 0.00027122 0.000607208 -0.00041624
174 1730 28 0.000343983 0.000666469 -0.000355553
175 1740 27 0.000350131 0.000736157 -0.000271437
176 1750 26 0.000268101 0.000805969 -0.000220524
177 1760 25 9.25136e-05 0.000848146 -0.000228676
178 1770 24 -0.000126013 0.0008404 -0.000246472
179 1780 23 -0.000313423 0.000791508 -0.000213869
180 1790 22 -0.00043651 0.000735416 -0.000135099
181 1800 21 -0.000523504 0.000695425 -5.17953e-05
182 1810 20 -0.000628487 0.000663658 1.074e-05
183 1820 19 -0.000765557 0.000628893 6.05759e-05
184 1830 18 -0.000918673 0.000593624 9.49121e-05
185 1840 17 -0.00108393 0.000569927 8.57436e-05
186 1850 16 -0.0012515 0.000573343 2.99981e-05
187 1860 15 -0.00135204 0.000604653 -1.8455e-05
188 1870 14 -0.00128955 0.000650979 -1.00414e-05
189 1880 13 -0.00104881 0.000686539 5.14028e-05
190 1890 12 -0.000712863 0.000702708 0.000115161
191 1900 11 -0.000355271 0.000715422 0.000132301
192 1910 10 2.52792e-05 0.000725903 0.00010654
193 1920 9 0.000480283 0.000722716 7.83223e-05
194 1930 8 0.000993561 0.000680546 6.70736e-05
195 1940 7 0.00145127 0.000585844 4.70294e-05
196 1950 6 0.00175263 0.00046824 2.71362e-05
197 1960 5 0.00190287 0.000373806 7.53811e-05
198 1970 4 0.00196373 0.000311833 0.000227813
199 1980 3 0.0019234 0.000228447 0.000424066
200 1990 2 0.00172702 0.000129406 0.000556613
4000 200
1 0 401 0.000725971 0.000913095 0.00129804
2 10 400 0.000688404 0.000872755 0.00124809
3 20 399 0.000604975 0.000780649 0.00114176
4 30 398 0.000523788 0.000690231 0.00105621
5 40 397 0.00046319 0.000620167 0.00101029
6 50 396 0.000412949 0.000558342 0.000977475
7 60 395 0.000363027 0.000494865 0.00093831
8 70 394 0.000317463 0.000434213 0.000892244
9 80 393 0.000283395 0.000383644 0.000840863
10 90 392 0.000260029 0.000342846 0.000782534
11 100 391 0.000242966 0.000305901 0.000721018
12 110 390 0.000232102 0.00026821 0.000667087
13 120 389 0.000229216 0.000231061 0.000626494
14 130 388 0.000232332 0.000202152 0.000594427
15 140 387 0.000236158 0.000187738 0.000563593
16 150 386 0.000237383 0.000183222 0.000532237
17 160 385 0.000238981 0.000178306 0.000504353
18 170 384 0.000245962 0.000169321 0.000483182
19 180 383 0.000257966 0.000161502 0.000462665
20 190 382 0.000269613 0.000162236 0.000429382
21 200 381 0.000276423 0.000172482 0.00038126
22 210 380 0.000278672 0.000183339 0.000335492
23 220 379 0.000277406 0.000183358 0.00030623
24 230 378 0.000268233 0.000171423 0.000287983
25 240 377 0.000247753 0.000158782 0.00027026
26 250 376 0.000222205 0.000155037 0.000251255
27 260 375 0.000200936 0.000155847 0.000233914
28 270 374 0.000185845 0.000150783 0.000220213
29 280 373 0.000173178 0.000138225 0.000210555
30 290 372 0.000161959 0.000123526 0.000204333
31 300 371 0.000155973 0.000106657 0.000200632
32 310 370 0.000157719 8.35952e-05 0.000200177
33 320 369 0.000163942 5.62029e-05 0.00020576
34 330 368 0.000168746 3.20772e-05 0.000216795
35 340 367 0.000171105 1.82526e-05 0.000224775
36 350 366 0.000174903 1.87495e-05 0.000222089
37 360 365 0.000182165 3.26285e-05 0.000213762
38 370 364 0.000192295 5.0675e-05 0.000211851
39 380 363 0.000203192 6.13482e-05 0.000221491
40 390 362 0.000213441 6.25843e-05 0.000238884
41 400 361 0.000222372 6.32821e-05 0.000255387
42 410 360 0.000226995 7.07899e-05 0.000262734
43 420 359 0.000222706 7.95788e-05 0.000258531
44 430 358 0.00020884 7.60679e-05 0.000247229
45 440 357 0.000192515 5.4396e-05 0.000235398
46 450 356 0.000183593 2.17754e-05 0.000225045
47 460 355 0.000184603 -8.38303e-06 0.000215919
48 470 354 0.000186025 -2.523e-05 0.000211113
49 480 353 0.000176037 -2.85594e-05 0.000212221
50 490 352 0.000153341 -2.72397e-05 0.000212206
51 500 351 0.000126035 -2.75715e-05 0.000202876
52 510 350 0.000101758 -2.8737e-05 0.000188106
53 520 349 8.16568e-05 -3.05528e-05 0.000179217
54 530 348 6.31438e-05 -3.60908e-05 0.00017959
55 540 347 4.58403e-05 -4.52826e-05 0.00018485
56 550 346 3.40002e-05 -5.28362e-05 0.000193975
57 560 345 3.16356e-05 -5.38537e-05 0.000208137
58 570 344 3.72777e-05 -4.88962e-05 0.000221785
59 580 343 4.49127e-05 -4.23337e-05 0.000225355
60 590 342 4.96326e-05 -3.75679e-05 0.00021597
61 600 341 5.06009e-05 -3.56785e-05 0.000199533
62 610 340 4.85295e-05 -3.52733e-05 0.000182545
63 620 339 4.29718e-05 -3.1803e-05 0.000165818
64 630 338 3.47135e-05 -2.21407e-05 0.000146222
65 640 337 2.70099e-05 -7.25393e-06 0.000118894
66 650 336 2.37924e-05 9.77838e-06 8.29336e-05
67 660 335 2.58476e-05 2.44863e-05 4.68858e-05
68 670 334 3.16285e-05 3.26407e-05 1.93983e-05
69 680 333 4.2061e-05 3.40436e-05 -1.42781e-06
70 690 332 5.96409e-05 3.29769e-05 -2.19343e-05
71 700 331 8.07189e-05 3.43307e-05 -4.13058e-05
72 710 330 9.57952e-05 3.74597e-05 -5.66621e-05
73 720 329 0.000101629 4.02154e-05 -7.20793e-05
74 730 328 0.000109061 4.20812e-05 -8.87947e-05
75 740 327 0.000127922 4.26167e-05 -9.70085e-05
76 750 326 0.000152329 4.2648e-05 -8.96004e-05
77 760 325 0.000168654 4.76847e-05 -7.84196e-05
78 770 324 0.000172539 6.37366e-05 -8.4455e-05
79 780 323 0.000169987 8.86945e-05 -0.000113361
80 790 322 0.000165292 0.000113172 -0.000148491
81 800 321 0.000154717 0.00013168 -0.000171284
82 810 320 0.00013436 0.000149336 -0.000180173
83 820 319 0.000107908 0.000173238 -0.000184953
84 830 318 8.26661e-05 0.000201364 -0.00019136
85 840 317 6.1538e-05 0.000226665 -0.000197045
86 850 316 4.11468e-05 0.000246421 -0.000198301
87 860 315 2.07757e-05 0.000262073 -0.000194026
88 870 314 7.30384e-06 0.00027354 -0.000183577
89 880 313 6.01453e-06 0.000277945 -0.000163092
90 890 312 1.22781e-05 0.000273986 -0.000129992
91 900 311 1.65956e-05 0.00026387 -9.07857e-05
92 910 310 1.72467e-05 0.000250897 -5.62619e-05
93 920 309 2.18267e-05 0.000237552 -2.94082e-05
94 930 308 3.43004e-05 0.000222009 -2.67121e-06
95 940 307 4.77297e-05 0.000198516 3.10695e-05
96 950 306 5.42988e-05 0.000163593 6.91475e-05
97 960 305 5.55304e-05 0.000122784 0.00010343
98 970 304 5.69785e-05 8.75525e-05 0.000130437
99 980 303 5.85648e-05 6.34652e-05 0.00015085
100 990 302 5.49818e-05 4.64147e-05 0.000162208
101 1000 301 4.02577e-05 3.0568e-05 0.000164142
102 1010 300 1.26537e-05 1.61123e-05 0.00016526
103 1020 299 -2.44524e-05 9.59505e-06 0.000173562
104 1030 298 -6.5087e-05 1.47337e-05 0.0001846
105 1040 297 -0.00010071 2.5507e-05 0.000187192
106 1050 296 -0.000123091 3.22512e-05 0.000177076
107 1060 295 -0.000129203 3.4191e-05 0.000162117
108 1070 294 -0.000123727 3.99638e-05 0.000153479
109 1080 293 -0.000114935 5.33494e-05 0.000155362
110 1090 292 -0.000107042 6.47223e-05 0.000163054
111 1100 291 -9.83618e-05 6.21321e-05 0.000164586
112 1110 290 -8.6995e-05 4.80225e-05 0.000150348
113 1120 289 -7.42835e-05 3.4824e-05 0.000125543
114 1130 288 -6.19957e-05 2.66056e-05 0.000104982
115 1140 287 -4.89491e-05 1.66355e-05 9.25767e-05
116 1150 286 -3.26347e-05 -1.05497e-06 7.99075e-05
117 1160 285 -1.32769e-05 -2.67263e-05 6.33744e-05
118 1170 284 4.85704e-06 -5.68671e-05 4.60271e-05
119 1180 283 1.52898e-05 -8.38628e-05 2.49674e-05
120 1190 282 1.4508e-05 -0.000100363 -4.83325e-06
121 1200 281 5.41631e-06 -0.000106718 -3.65402e-05
122 1210 280 -6.98787e-06 -0.000110073 -5.87018e-05
123 1220 279 -2.0579e-05 -0.000115867 -7.21755e-05
124 1230 278 -3.55422e-05 -0.000123068 -8.87566e-05
125 1240 277 -5.12975e-05 -0.000127243 -0.000113888
126 1250 276 -6.39069e-05 -0.000125149 -0.000138629
127 1260 275 -6.89839e-05 -0.000115108 -0.000155546
128 1270 274 -6.81755e-05 -9.62067e-05 -0.000170369
129 1280 273 -6.98528e-05 -7.01153e-05 -0.000190198
130 1290 272 -7.83328e-05 -4.24069e-05 -0.000211096
131 1300 271 -8.54219e-05 -2.00118e-05 -0.000224911
132 1310 270 -7.98838e-05 -8.42137e-06 -0.000229185
133 1320 269 -6.53342e-05 -9.48059e-06 -0.000227295
134 1330 268 -5.7597e-05 -2.00917e-05 -0.000223029
135 1340 267 -6.62813e-05 -3.38659e-05 -0.000216284
136 1350 266 -8.68934e-05 -4.62972e-05 -0.000206055
137 1360 265 -0.00010891 -5.59008e-05 -0.000195885
138 1370 264 -0.000125843 -6.2394e-05 -0.000191171
139 1380 263 -0.00013686 -6.5504e-05 -0.000192807
140 1390 262 -0.00014353 -6.34549e-05 -0.000197911
141 1400 261 -0.000147765 -5.37861e-05 -0.000203351
142 1410 260 -0.000154705 -3.69816e-05 -0.000206246
143 1420 259 -0.000170456 -1.85087e-05 -0.000204628
144 1430 258 -0.000192784 -5.25033e-06 -0.000201272
145 1440 257 -0.000208831 1.28036e-07 -0.000202416
146 1450 256 -0.000207205 1.50153e-06 -0.00021144
147 1460 255 -0.000190309 1.83536e-06 -0.000226014
148 1470 254 -0.000169329 -1.75494e-06 -0.00024092
149 1480 253 -0.00015336 -8.05685e-06 -0.000252099
150 1490 252 -0.000144716 -6.39766e-06 -0.000258545
151 1500 251 -0.000139384 1.00553e-05 -0.00026029
152 1510 250 -0.000132475 3.48995e-05 -0.000256344
153 1520 249 -0.000120899 5.69514e-05 -0.000247419
154 1530 248 -0.000102251 7.15515e-05 -0.000238202
155 1540 247 -7.71684e-05 8.35283e-05 -0.000233082
156 1550 246 -5.2127e-05 0.00010065 -0.00023013
157 1560 245 -3.57148e-05 0.000126879 -0.000223293
158 1570 244 -2.75882e-05 0.000160793 -0.000211001
159 1580 243 -1.69644e-05 0.000194752 -0.000199032
160 1590 242 2.96679e-06 0.000219311 -0.000190974
161 1600 241 2.50652e-05 0.000233684 -0.000181911
162 1610 240 3.57202e-05 0.000244443 -0.000167481
163 1620 239 3.10725e-05 0.000255129 -0.000152776
164 1630 238 2.13932e-05 0.000265447 -0.000146649
165 1640 237 1.58664e-05 0.000275431 -0.000149483
166 1650 236 1.41439e-05 0.000284566 -0.000151662
167 1660 235 1.42562e-05 0.000290245 -0.000144108
168 1670 234 1.85987e-05 0.000290625 -0.000127509
169 1680 233 2.50783e-05 0.000287447 -0.000108818
170 1690 232 2.56468e-05 0.000284904 -9.2486e-05
171 1700 231 1.8486e-05 0.00028669 -8.19306e-05
172 1710 230 9.73393e-06 0.00029097 -8.28474e-05
